1;otavio.garcia;y7O;0
2;helena.cardoso;VIQT;1
3;isaque.almeida;kBzJo;1
4;gustavohenrique.lima;1yLBG;1
5;yasmin.montenegro;Varzea;0
6;danilo.darosa;senha;1
7;joaoguilherme.montenegro;X9o8;1
8;marcelo.castro;Jose;0
9;alana.farias;vxI;1
10;guilherme.nascimento;Farias;1
11;marialuisa.sousa;R5h;1
12;marcosvinicius.moraes;T5x4c;1
13;isabella.novais;8iw;0
14;mariajulia.cirino;8m;1
15;ian.darosa;uTzaF8;1
16;dom.machado;Ncenv;0
17;melissa.fernandes;West;0
18;enzo.campos,;Jose123;1
19;maite.carvalho;U8cCFs;1
20;anajulia.ramos;NLNLNL;1
21;bento.cavalcanti;Uiuiuiu;0
22;annaliz.aragao;Yes;0
23;mariaclara.carvalho;d5das;1
24;joaofelipe.ramos;bHmvF;1
25;arthur.costa;HtNNLP;0
